"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","LisaTT 0.9.1","Vampire 4.9","CSI_Enigma 1.0.6","cvc5 1.3.0","Zipperpin 2.1.9999","Prover9 1109a","SPASS‑SCL 0.1","LastButNotLeast 0"
"ITP015+4","+3.34","+6.20","+59.82","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","4.81","10.24","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SEU425+3","+3.27","+2.04","TMO‑Non","+23.36","+23.60","TMO‑Non","TMO‑Non","UNK‑Non","1.67","10.73","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW470+7","+0.57","TMO‑Non","+12.25","TMO‑Non","+16.63","TMO‑Non","TMO‑Non","UNK‑Non","0.51","30.50","48.44","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB012+1","+1.18","TMO‑Non","TMO‑Non","91.09","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.67","28.29","109.53","6.74","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO292+1","+0.78","+97.40","94.51","133.64","+1.17","TMO‑Non","TMO‑Non","UNK‑Non","20.72","24.93","183.23","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"CSR218+1","+1.22","+2.85","+236.99","217.63","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.72","7.42","TMO‑Non","66.10","TMO‑Non","GUP‑Non","GUP‑Non"
"AGT011+2","+0.51","TMO‑Non","TMO‑Non","+141.95","+154.07","TMO‑Non","TMO‑Non","UNK‑Non","1.19","21.96","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO295+1","+1.20","+115.40","31.50","91.53","+1.01","TMO‑Non","TMO‑Non","UNK‑Non","5.21","25.33","183.29","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SCT152+1","+0.61","TMO‑Non","+109.10","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.35","TMO‑Non","49.42","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SEV579+1*","+0.30","TMO‑Non","+5.29","TMO‑Non","+76.38","TMO‑Non","TMO‑Non","TMO‑Non","0.43","TMO‑Non","0.47","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SEV551+1*","+0.44","TMO‑Non","+5.80","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.36","TMO‑Non","0.48","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWX034+1*","+1.08","TMO‑Non","+34.89","TMO‑Non","7.42","TMO‑Non","TMO‑Non","UNK‑Non","0.97","156.52","3.44","33.12","UNK‑Non","GUP‑Non","GUP‑Non"
"NUM708+4","+2.00","+12.17","+164.58","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","4.04","114.08","TMO‑Non","50.87","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB067+1","+0.36","+185.69","+79.53","+51.98","+1.12","TMO‑Non","TMO‑Non","UNK‑Non","0.40","15.92","2.45","0.72","GUP‑Non","GUP‑Non","GUP‑Non"
"PUZ077+1","+0.63","+32.10","+1.80","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.55","3.90","UNK‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SET756+4","+0.34","TMO‑Non","+12.86","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.32","TMO‑Non","0.52","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SCT151+1","+0.76","TMO‑Non","+138.67","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.76","TMO‑Non","49.25","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW900+1","+11.11","+8.99","+106.06","+62.13","+2.34","TMO‑Non","TMO‑Non","UNK‑Non","74.92","3.19","26.85","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWW937+1","+1.77","+1.68","+49.46","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.67","2.71","TMO‑Non","48.55","UNK‑Non","GUP‑Non","GUP‑Non"
"LCL889+1","+93.15","+13.36","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","8.54","14.45","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"GEO514+1","+0.64","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.90","TMO‑Non","25.04","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"AGT013+2","+0.47","TMO‑Non","+71.08","TMO‑Non","+158.37","TMO‑Non","TMO‑Non","UNK‑Non","0.88","9.42","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SEV562+1*","+2.33","TMO‑Non","1.80","TMO‑Non","+3.11","TMO‑Non","TMO‑Non","UNK‑Non","0.47","TMO‑Non","26.59","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW097+1","+3.70","+6.51","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","2.28","48.54","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB022+1","+0.35","TMO‑Non","+102.57","TMO‑Non","+23.88","TMO‑Non","TMO‑Non","UNK‑Non","0.57","5.69","TMO‑Non","1.00","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB055+1","+0.46","+4.18","TMO‑Non","TMO‑Non","+85.49","TMO‑Non","TMO‑Non","UNK‑Non","0.50","201.58","TMO‑Non","1.73","TMO‑Non","GUP‑Non","GUP‑Non"
"ALG104+1","+0.58","TMO‑Non","+2.32","TMO‑Non","+5.98","TMO‑Non","TMO‑Non","GUP‑Non","0.65","TMO‑Non","0.96","18.08","TMO‑Non","GUP‑Non","GUP‑Non"
"SCT115+1","+0.49","+1.76","+32.46","TMO‑Non","121.58","TMO‑Non","TMO‑Non","UNK‑Non","1.34","184.85","13.10","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB069+1","+0.41","+0.55","+3.40","TMO‑Non","49.26","TMO‑Non","TMO‑Non","UNK‑Non","0.35","28.84","TMO‑Non","90.57","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO445+1","+3.47","+113.92","+167.13","101.30","1.61","TMO‑Non","TMO‑Non","UNK‑Non","1.09","18.36","TMO‑Non","15.87","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB050+1","+0.38","TMO‑Non","+5.40","TMO‑Non","+86.01","TMO‑Non","TMO‑Non","UNK‑Non","0.48","28.12","TMO‑Non","0.95","TMO‑Non","GUP‑Non","GUP‑Non"
"NUM926+4","+2.13","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.68","TMO‑Non","7.09","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB039+1","+0.33","+11.40","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.93","TMO‑Non","TMO‑Non","36.06","TMO‑Non","GUP‑Non","GUP‑Non"
"REL033+1","+20.52","+43.11","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","58.64","23.48","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL467+1","+12.86","+15.52","+93.52","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","3.26","87.99","TMO‑Non","UNK‑Non","119.48","GUP‑Non","GUP‑Non"
"HWV090+1","+2.62","TMO‑Non","+41.40","+45.82","52.23","TMO‑Non","TMO‑Non","UNK‑Non","1.56","8.91","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"NUM314+1","+1.91","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","+15.22","UNK‑Non","0.44","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SEV565+1*","+1.74","TMO‑Non","198.60","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","6.40","12.95","124.81","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWX029+1*","+27.08","TMO‑Non","17.97","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","9.67","12.73","2.58","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"CSR248+1","+1.22","+10.54","+153.46","+153.47","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.98","105.03","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO532+1","+1.08","TMO‑Non","+191.62","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","9.06","TMO‑Non","25.02","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"ITP015+5","+7.78","+62.18","TMO‑Non","TMO‑Non","50.57","TMO‑Non","TMO‑Non","UNK‑Non","7.14","66.25","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"ITP004+5","+1.03","+56.56","126.94","+27.25","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.17","9.48","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB104+1","+0.71","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.24","200.35","TMO‑Non","1.31","TMO‑Non","GUP‑Non","GUP‑Non"
"LAT350+1","+3.86","+4.86","TMO‑Non","+139.01","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","16.58","127.42","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"ITP023+4","+10.21","+42.26","TMO‑Non","TMO‑Non","+15.99","TMO‑Non","+239.75","UNK‑Non","7.57","43.72","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO293+1","+0.86","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","5.40","152.96","186.63","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB013+1","+2.81","TMO‑Non","TMO‑Non","TMO‑Non","+30.99","TMO‑Non","TMO‑Non","UNK‑Non","1.23","199.81","TMO‑Non","72.68","TMO‑Non","GUP‑Non","GUP‑Non"
"SEU419+1","+0.43","TMO‑Non","+1.86","TMO‑Non","26.22","TMO‑Non","TMO‑Non","UNK‑Non","0.30","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"ALG215+2","+0.53","+53.67","+31.83","TMO‑Non","168.61","TMO‑Non","TMO‑Non","UNK‑Non","0.51","7.58","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL448+1","TMO‑Non","+2.62","+16.90","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","3.46","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO513+1","+1.04","TMO‑Non","+99.59","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.59","TMO‑Non","27.43","30.05","TMO‑Non","GUP‑Non","GUP‑Non"
"ITP004+4","+1.49","+82.32","+179.76","TMO‑Non","+82.59","TMO‑Non","TMO‑Non","UNK‑Non","0.67","37.72","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB059+1","+0.88","+11.80","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.21","200.36","87.13","91.55","TMO‑Non","GUP‑Non","GUP‑Non"
"SWX055+1*","+1.71","TMO‑Non","+123.04","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","6.66","40.82","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWX022+1*","+2.17","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","3.64","TMO‑Non","0.68","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SEV556+1*","+22.36","TMO‑Non","194.61","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","2.33","TMO‑Non","124.63","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SEV560+1*","+2.32","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","3.03","TMO‑Non","124.39","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWX060+1*","TMO‑Non","TMO‑Non","+65.46","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","3.25","TMO‑Non","25.59","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"ITP009+1","+1.50","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","0.98","TMO‑Non","107.77","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"CSR201+1","+18.17","+55.21","+108.44","+84.69","+21.67","TMO‑Non","TMO‑Non","UNK‑Non","1.63","51.50","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL547+1","+9.98","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","5.59","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB028+1","+0.88","+25.68","+34.49","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.67","TMO‑Non","TMO‑Non","UNK‑Non","GUP‑Non","GUP‑Non","GUP‑Non"
"GEO337+1","+5.34","TMO‑Non","18.91","TMO‑Non","+1.84","TMO‑Non","TMO‑Non","UNK‑Non","2.12","81.05","184.63","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB095+1","+1.03","TMO‑Non","TMO‑Non","TMO‑Non","+54.94","TMO‑Non","TMO‑Non","UNK‑Non","0.58","198.44","TMO‑Non","UNK‑Non","GUP‑Non","GUP‑Non","GUP‑Non"
"GEO520+1","+21.39","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","161.87","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO442+1","+58.17","TMO‑Non","+160.75","TMO‑Non","+32.13","TMO‑Non","TMO‑Non","UNK‑Non","37.76","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWW291+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","133.22","TMO‑Non","50.57","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SCT154+1","+0.57","+239.87","+1.94","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.39","TMO‑Non","50.36","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"ITP003+1","+8.95","+1.93","TMO‑Non","TMO‑Non","+14.27","TMO‑Non","TMO‑Non","TMO‑Non","16.15","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"ALG215+4","+1.30","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.36","21.48","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"LAT374+3","+1.63","+198.28","TMO‑Non","+58.71","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.10","185.84","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWX037+1*","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","0.75","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWX070+1*","TMO‑Non","+130.76","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","8.78","192.51","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SEV554+1*","+4.66","TMO‑Non","+8.86","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.75","TMO‑Non","28.88","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB099+1","+1.33","TMO‑Non","+233.15","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.57","198.54","TMO‑Non","UNK‑Non","GUP‑Non","GUP‑Non","GUP‑Non"
"RNG085+2","+51.41","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","8.53","7.41","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"ITP003+2","+1.78","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","14.98","3.66","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SEU390+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","7.51","4.33","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB020+1","+1.06","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.32","209.62","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB092+1","+0.37","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.35","204.24","TMO‑Non","7.42","TMO‑Non","GUP‑Non","GUP‑Non"
"ALG216+4","+1.93","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","2.07","20.77","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"NUM695+4","+12.55","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","2.33","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"BIO006+1","+5.65","+116.87","+118.23","+140.80","+27.72","TMO‑Non","TMO‑Non","UNK‑Non","11.05","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"NUM736+4","+3.68","TMO‑Non","+17.43","TMO‑Non","+17.64","TMO‑Non","TMO‑Non","UNK‑Non","2.30","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO491+1","TMO‑Non","TMO‑Non","+10.36","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","14.88","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"CSR170+1","+14.72","+79.18","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","6.82","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"TOP034+4","+1.73","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","2.14","13.15","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"ITP012+4","+4.88","+40.70","+229.79","TMO‑Non","+16.83","TMO‑Non","TMO‑Non","UNK‑Non","2.42","9.69","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB098+1","+0.34","TMO‑Non","+225.59","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.42","198.68","TMO‑Non","UNK‑Non","GUP‑Non","GUP‑Non","GUP‑Non"
"NUM791+4","+1.44","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","16.23","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWC199+1","+3.43","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","6.84","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"CSR210+1","+3.23","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","2.71","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB101+1","+1.63","+123.04","TMO‑Non","TMO‑Non","16.65","TMO‑Non","TMO‑Non","UNK‑Non","0.54","198.85","TMO‑Non","UNK‑Non","GUP‑Non","GUP‑Non","GUP‑Non"
"NUM658+4","+4.51","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","13.30","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"NUM789+4","+3.97","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.49","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB108+1","+4.15","+115.21","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.69","200.27","2.55","UNK‑Non","GUP‑Non","GUP‑Non","GUP‑Non"
"GEO317+1","+76.62","+58.49","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","54.82","34.21","UNK‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SEU299+2","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","3.56","TMO‑Non","0.71","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
